Experiment,Max Depth,Min Samples Split,Min Samples Leaf,Test Accuracy,F1 Score,AUC
1,3,9,4,0.4551256481850818,0.4720670756189878,0.7732694890777367
2,7,8,1,0.5612285600319107,0.5736433259892324,0.7915274060865621
3,3,3,2,0.4148384523334663,0.4158578676334547,0.7569702140704206
4,3,8,3,0.48623853211009177,0.47701862567388903,0.7579698742823031
5,6,8,3,0.5372955723972876,0.5405329217937617,0.7689711026036163
6,3,2,2,0.5640207419226166,0.5579785071186266,0.774235072809164
7,8,7,4,0.5556441962504987,0.5612883016483963,0.7568457856042728
8,7,4,3,0.5400877542879936,0.5426463471137563,0.7641373217735237
9,9,6,1,0.5313123254886318,0.5352121395173322,0.7484317092189341
10,7,9,2,0.5400877542879936,0.5487045598587489,0.7406644970246661
11,7,4,4,0.5273234942161946,0.5402008883019028,0.77090494716752
12,7,2,2,0.5492620662145992,0.5543671282934876,0.7517682139197231
13,5,5,3,0.5719984044674911,0.5766072671745779,0.7867539130297876
14,4,8,2,0.5233346629437575,0.5269624880873955,0.7884097261772699
15,9,8,3,0.5408855205424811,0.5500038497401638,0.7406321957181815
16,7,3,2,0.5408855205424811,0.545708925131917,0.7579888550851919
17,4,3,4,0.5468687674511368,0.549369730677572,0.7863906006061372
18,8,9,3,0.5229357798165137,0.5261511648768646,0.7651014669224145
19,5,5,3,0.5317112086158755,0.533398407820259,0.7976923129646782
20,8,4,3,0.5424810530514559,0.5480452511927959,0.7366722412615545
21,8,2,1,0.5209413641802951,0.5334994914421465,0.7296255744873501
22,6,9,4,0.5129637016354208,0.5304373539841922,0.7771589641008603
23,4,4,4,0.5504587155963303,0.5530227660857148,0.791558319314668
24,4,4,4,0.5317112086158755,0.5384380886671455,0.7706049714625582
25,8,6,2,0.5189469485440766,0.5295187937914348,0.7526169586743815
26,4,2,1,0.5165536497806142,0.5206416666999985,0.7844050785950468
27,9,5,3,0.5584363781412046,0.5558423015712141,0.7516107110684072
28,9,2,4,0.5400877542879936,0.5404614778003303,0.7383484210040654
29,6,6,1,0.5177502991623454,0.5145136086001567,0.7705692328442819
30,4,9,3,0.48663741523733545,0.49038762218811416,0.7772876022585052
